document_id,file_name,title,source,document_type,topic,version,date_added,approval_status,approved_by,reason,contains_sensitive_data,notes
DOC-001,DOC-001_what_is_rag_v1.pdf,Retrieval-Augmented Generation (RAG),Springer Nature,PDF,What is RAG,1.0,2026-07-25,Approved,Yara Samir,Relevant and trusted document,No,Ready for ingestion. Foundational overview.
DOC-002,DOC-002_rag_knowledge_intensive_nlp_v1.pdf,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,NeurIPS 2020,PDF,What is RAG,1.0,2026-07-25,Approved,Yara Samir,Foundational RAG paper,No,Core reference for RAG implementation.
DOC-003,DOC-003_rag_survey_v1.pdf,Retrieval-Augmented Generation for Large Language Models: A Survey,arXiv,PDF,What is RAG,1.0,2026-07-25,Approved,Yara Samir,Comprehensive survey,No,Survey for literature review.
DOC-004,DOC-004_prompt_engineering_survey_v1.pdf,A Survey of Prompt Engineering Methods in Large Language Models,arXiv,PDF,Prompt Engineering,1.0,2026-07-25,Approved,Yara Samir,Relevant survey,No,Covers prompt engineering techniques.
DOC-005,DOC-005_prompt_engineering_industry40_v1.pdf,Prompt Engineering,IEEE Conference Proceedings,PDF,Prompt Engineering,1.0,2026-07-25,Approved,Yara Samir,Relevant conference paper,No,Conference paper relevant to industry use cases.
DOC-006,DOC-006_embeddings_bert_v1.pdf,BERT,NAACL-HLT 2019 (ACL Anthology),PDF,Embeddings,1.0,2026-07-26,Approved,Yara Samir,Foundational embedding model,No,Foundational embedding model.
DOC-007,DOC-007_embeddings_sentence_bert_v1.pdf,Sentence-BERT,EMNLP-IJCNLP 2019 (ACL Anthology),PDF,Embeddings,1.0,2026-07-26,Approved,Yara Samir,Sentence embeddings,No,Recommended sentence embedding reference.
DOC-008,DOC-008_chunking_techniques_v1.pdf,Chunking Methods on Retrieval-Augmented Generation,Procedia Computer Science (Elsevier),PDF,Chunking,1.0,2026-07-26,Approved,Yara Samir,Relevant document,No,Supports document chunking strategies.
DOC-009,DOC-009_semantic_chunking_v1.pdf,Query-Adaptive Semantic Chunking for RAG,Independent Research Preprint,PDF,Chunking,1.0,2026-07-26,Approved,Yara Samir,Relevant document,No,Advanced semantic chunking approach.
DOC-010,DOC-010_faiss_similarity_search_v1.pdf,The FAISS Library,Meta AI Research,PDF,FAISS,1.0,2026-07-26,Approved,Yara Samir,Relevant document,No,Recommended vector search library.
DOC-011,DOC-011_vector_databases_survey_v1.pdf,A Comprehensive Survey on Vector Database,arXiv,PDF,Vector Databases,1.0,2026-07-26,Approved,Yara Samir,Relevant survey,No,General vector database survey.
DOC-012,DOC-012_vector_databases_genai_v1.pdf,Introduction to Vector Databases for Generative AI,IARJSET,PDF,Vector Databases,1.0,2026-07-26,Approved,Yara Samir,Relevant document,No,GenAI-focused vector database reference.
DOC-013,DOC-013_llm_security_owasp_top10_v1.pdf,OWASP Top 10 for Agentic Applications,OWASP,PDF,LLM Security,1.0,2026-07-26,Approved,Yara Samir,Trusted guidance,No,Primary LLM security guidance.
DOC-014,DOC-014_hallucination_survey_v1.pdf,HalluScope,Conference Research Paper,PDF,AI Hallucination,1.0,2026-07-26,Approved,Yara Samir,Relevant document,No,Useful reference for hallucination mitigation.
DOC-015,DOC-015_citation_self_rag_v1.pdf,SELF-RAG,University of Washington / Allen AI / IBM Research,PDF,Citation & Grounding,1.0,2026-07-26,Approved,Yara Samir,Relevant document,No,Grounding and self-reflection approach.
DOC-016,DOC-016_citation_crag_v1.pdf,Corrective Retrieval Augmented Generation (CRAG),Google DeepMind / USTC / UCLA,PDF,Citation & Grounding,1.0,2026-07-27,Approved,Yara Samir,Relevant document,No,Corrective retrieval approach.
DOC-017,DOC-017_evaluation_ragas_v1.pdf,RAGAS,ACL Findings (EACL 2024),PDF,RAG Evaluation,1.0,2026-07-27,Approved,Yara Samir,Useful for evaluation,No,Useful for RAG evaluation.
DOC-018,DOC-018_llm_lora_finetuning_v1.pdf,LoRA,arXiv,PDF,Fine-Tuning,1.0,2026-07-27,Rejected,Yara Samir,Outside the defined project scope,No,Rejected: Outside project scope.
DOC-019,DOC-019_llm_few_shot_learning_v1.pdf,GPT-3: Language Models are Few-Shot Learners,arXiv,PDF,General LLM,1.0,2026-07-27,Rejected,Yara Samir,Outside the defined project scope,No,Rejected: Outside project scope.
